programme_name,url_checked,url_role,http_status,final_url,content_type,response_size_bytes,fetch_ok,error_message,total_links,pdf_links,likely_detail_links,methodology_keywords_hit,codes_detected,records_detected,js_likely_required,verification_status,notes,checked_at
Climate Forward,https://climateforward.org/program/methodologies/,plan_primary,200,https://climateforward.org/program/methodologies/,text/html; charset=UTF-8,100339,Yes,,109,2,42,methodologies; methodology; quantification; standard; standards,,42,No,verified_static_source,Static HTML reachable with methodology signals; safe to attempt connector.,2026-07-05T22:47:59
Climate Forward,https://climateforward.org/program/program-manuals-and-project-forms/,plan_secondary,200,https://climateforward.org/program/program-manuals-and-project-forms/,text/html; charset=UTF-8,101576,Yes,,114,8,38,methodologies; methodology; standard,,38,No,verified_static_source,Static HTML reachable with methodology signals; safe to attempt connector.,2026-07-05T22:48:00
American Carbon Registry (ACR),https://acrcarbon.org/methodologies/approved-methodologies/,plan_primary,200,https://acrcarbon.org/methodologies/approved-methodologies/,text/html; charset=UTF-8,98420,Yes,,101,0,24,methodologies; methodology; removal; sectoral scope; standard; standards,,24,No,verified_static_source,Static HTML reachable with methodology signals; safe to attempt connector.,2026-07-05T22:48:01
American Carbon Registry (ACR),https://acrcarbon.org/acr-program/acr-standard/,plan_secondary,200,https://acrcarbon.org/acr-program/acr-standard/,text/html; charset=UTF-8,96132,Yes,,106,22,6,methodologies; quantification; removal; standard; standards,,7,No,verified_static_source,Static HTML reachable with methodology signals; safe to attempt connector.,2026-07-05T22:48:02
Cercarbono,https://cercarbono.com/methodologies/,plan_primary,200,https://cercarbono.com/methodologies/,text/html; charset=UTF-8,1960630,Yes,,83,18,15,methodologies; methodology; standard; standards,,15,No,verified_static_source,Static HTML reachable with methodology signals; safe to attempt connector.,2026-07-05T22:48:03
Cercarbono,https://cercarbono.com/documents/,plan_secondary,200,https://cercarbono.com/documents/,text/html; charset=UTF-8,2338228,Yes,,195,72,9,methodologies; methodology; protocol; protocols; removal; standard; standards,,9,No,verified_static_source,Static HTML reachable with methodology signals; safe to attempt connector.,2026-07-05T22:48:09
Social Carbon,https://socialcarbon.org/methodologies,plan_primary,200,https://www.socialcarbon.org/methodologies,text/html;charset=utf-8,5189055,Yes,,90,0,7,methodologies; module; modules; standard,,7,No,verified_static_source,Static HTML reachable with methodology signals; safe to attempt connector.,2026-07-05T22:48:18
Social Carbon,https://socialcarbon.org/documentation,plan_secondary,200,https://www.socialcarbon.org/documentation,text/html;charset=utf-8,337942,Yes,,166,19,15,afolu; methodologies; methodology; module; modules; standard,,15,No,verified_static_source,Static HTML reachable with methodology signals; safe to attempt connector.,2026-07-05T22:48:19
Plan Vivo,https://www.planvivo.org/projects/certify-a-project/pvclimate/methodologies/approved-methodologies,plan_primary,200,https://www.planvivo.org/projects/certify-a-project/pvclimate/methodologies/approved-methodologies,text/html; charset=UTF-8,122934,Yes,,102,9,13,methodologies; methodology; module; modules; removal; standard,PM (Puro):8,13,No,verified_static_source,Static HTML reachable with methodology signals; safe to attempt connector.,2026-07-05T22:48:21
Puro Earth,https://puro.earth/cdr-infrastructure/methodologies/,plan_primary,200,https://puro.earth/cdr-infrastructure/methodologies/,text/html; charset=UTF-8,192420,Yes,,91,1,20,methodologies; methodology; removal; standard; standards,,20,No,verified_static_source,Static HTML reachable with methodology signals; safe to attempt connector.,2026-07-05T22:48:23
